TEAM, OFF PTS/G, OFF YDS/G, OFF P YDS/G, OFF R YDS/G, DEF PTS/G, DEF YDS/G, DEF P YDS/G, DEF R YDS/G
Kansas City, 35.3, 425.6, 309.7, 115.9, 26.3, 405.5, 273.4, 132.1
LA Rams, 32.9, 421.1, 281.7, 139.4, 24, 358.6, 236.3, 122.3
Tampa Bay, 24.8, 415.5, 320.3, 95.2, 29, 383.4, 259.4, 123.9
Pittsburgh, 26.8, 403.3, 313, 90.3, 22.5, 327.2, 231.1, 96.1
New England, 27.3, 393.4, 266.1, 127.3, 20.3, 359.1, 246.4, 112.7
Atlanta, 25.9, 389.1, 290.8, 98.3, 26.4, 384.5, 259.6, 124.9
Indianapolis, 27.1, 386.2, 278.8, 107.4, 21.5, 339.4, 237.8, 101.6
New Orleans, 31.5, 379.2, 252.6, 126.6, 22.1, 349.1, 268.9, 80.2
Baltimore, 24.3, 374.9, 222.4, 152.6, 17.9, 292.9, 210, 82.9
Carolina, 23.5, 373.3, 239.8, 133.5, 23.9, 353.2, 240.4, 112.8
LA Chargers, 26.8, 372.6, 255.6, 117.1, 20.6, 333.7, 227.9, 105.8
Green Bay, 23.5, 369.1, 264.9, 104.2, 25, 354.4, 234.5, 119.9
Cleveland, 22.4, 368.8, 250.4, 118.3, 24.5, 393, 257.8, 135.2
Philadelphia, 22.9, 365.3, 267.2, 98.1, 21.8, 366.2, 269.3, 96.9
Houston, 25.1, 362.6, 236.3, 126.3, 19.8, 343.1, 260.4, 82.7
San Francisco, 21.4, 360.6, 241.7, 118.9, 27.2, 346.6, 233.3, 113.4
NY Giants, 23.1, 356.1, 252.9, 103.1, 25.8, 371.4, 252.8, 118.6
Seattle, 26.8, 353.3, 193.3, 160, 21.7, 353.3, 240.1, 113.2
Denver, 20.6, 350.1, 230.9, 119.2, 21.8, 365.1, 245.6, 119.6
Minnesota, 22.5, 345.6, 252.3, 93.3, 21.3, 309.7, 196.3, 113.4
Chicago, 26.3, 343.9, 222.8, 121.1, 17.7, 299.7, 219.7, 80
Dallas, 21.2, 343.8, 221.1, 122.7, 20.3, 329.3, 234.7, 94.6
Oakland, 18.1, 336.2, 234.4, 101.8, 29.2, 381.4, 240.8, 140.6
Detroit, 20.3, 327.3, 223.5, 103.8, 22.5, 335, 224.9, 110.1
Tennessee, 19.4, 312.4, 185.9, 126.4, 18.9, 333.4, 216.9, 116.4
Cincinnati, 23, 310.8, 205.6, 105.1, 28.4, 413.6, 275.9, 137.8
Jacksonville, 15.3, 302, 194.3, 107.7, 19.8, 311.4, 194.6, 116.9
Washington, 17.6, 299.7, 188.8, 110.9, 22.4, 353.4, 237.1, 116.3
NY Jets, 20.8, 299.2, 197.8, 101.4, 27.6, 380.4, 254.1, 126.3
Buffalo, 16.8, 298.6, 174.6, 124, 23.4, 294.1, 179.2, 114.9
Miami, 19.9, 289.9, 181.3, 108.6, 27.1, 391.1, 245.8, 145.3
Arizona, 14.1, 241.6, 157.7, 83.9, 26.6, 358.8, 203.9, 154.9
